City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,18.29,20,20,6.17,CA,1715295603
1,hobyo,5.3505,48.5268,28.88,81,92,5.02,SO,1715295825
2,edinburgh of the seven seas,-37.0676,-12.3116,12.26,54,87,2.17,SH,1715295826
3,yatou,37.15,122.3833,15.64,74,46,7.04,CN,1715295826
4,amga,60.8953,131.9608,1.53,50,33,3.01,RU,1715295827
5,waitangi,-43.9535,-176.5597,9.9,76,67,1.34,NZ,1715295827
6,tiksi,71.6872,128.8694,-3.93,89,100,0.76,RU,1715295828
7,touros,-5.1989,-35.4608,26.27,88,96,4.94,BR,1715295828
8,craig,40.5153,-107.5464,11.97,40,75,4.63,US,1715295829
9,haiku-pauwela,20.9219,-156.3051,26.01,78,75,6.17,US,1715295829
10,daru,-9.0763,143.2092,26.51,88,100,5.72,PG,1715295830
11,guerrero negro,27.9769,-114.0611,19.21,57,22,7.84,MX,1715295560
12,grytviken,-54.2811,-36.5092,-0.39,83,100,1.64,GS,1715295830
13,saint-francois,46.4154,3.9054,9.69,94,0,0.0,FR,1715295831
14,iskateley,67.6803,53.1512,-1.66,95,100,11.62,RU,1715295831
15,vorkuta,67.5,64.0,-2.16,74,100,9.39,RU,1715295832
16,adamstown,-25.066,-130.1015,21.92,74,78,3.27,PN,1715295832
17,avarua,-21.2078,-159.775,28.03,83,75,5.14,CK,1715295833
18,ilulissat,69.2167,-51.1,-2.99,74,58,3.6,GL,1715295833
19,klyuchi,52.2667,79.1667,17.28,45,98,5.68,RU,1715295833
20,hamilton,39.1834,-84.5333,22.77,78,75,9.77,US,1715295248
21,puerto ayora,-0.7393,-90.3518,26.98,96,91,1.34,EC,1715295835
22,senador guiomard,-10.1522,-67.7392,27.86,67,69,1.16,BR,1715295835
23,blackmans bay,-43.0167,147.3167,12.07,96,99,1.44,AU,1715295835
24,arraial do cabo,-22.9661,-42.0278,24.55,90,31,6.65,BR,1715295836
25,nabinagar,23.8917,90.9733,23.83,87,100,1.04,BD,1715295836
26,invercargill,-46.4,168.35,9.45,76,95,4.47,NZ,1715295675
27,lihue,21.9789,-159.3672,25.97,74,40,4.12,US,1715295837
28,atafu village,-8.5421,-172.5159,29.3,73,96,2.02,TK,1715295838
29,dudinka,69.4058,86.1778,-15.18,97,27,2.68,RU,1715295838
30,west island,-12.1568,96.8225,26.99,78,100,7.72,CC,1715295839
31,hermanus,-34.4187,19.2345,13.36,74,0,3.66,ZA,1715295839
32,ardmore,34.1743,-97.1436,22.92,57,0,3.09,US,1715295840
33,ushuaia,-54.8,-68.3,0.81,75,0,2.06,AR,1715295558
34,xiaoweizhai,26.1903,107.5125,18.5,98,100,2.27,CN,1715295840
35,walvis bay,-22.9575,14.5053,16.53,82,4,2.57,,1715295841
36,san andres,12.5847,-81.7006,30.01,74,20,5.14,CO,1715295841
37,broome,42.2506,-75.833,15.34,70,100,3.09,US,1715295841
38,east ballina,-28.8667,153.5833,17.11,69,87,5.56,AU,1715295661
39,bol'shoye murashkino,55.7826,44.7754,-1.7,85,46,6.17,RU,1715295842
40,mount pearl,47.5166,-52.7813,6.58,81,75,4.12,CA,1715295842
41,rikaze,29.25,88.8833,6.38,58,100,4.52,CN,1715295843
42,bingerville,5.3584,-3.8869,27.52,89,20,2.06,CI,1715295843
43,port-aux-francais,-49.35,70.2167,6.33,90,94,17.43,TF,1715295844
44,celestun,20.8667,-90.4,29.94,69,95,5.83,MX,1715295844
45,bethel,41.3712,-73.414,18.44,58,0,3.09,US,1715295825
46,margaret river,-33.95,115.0667,19.12,86,62,7.25,AU,1715295845
47,lensk,60.7253,114.9278,1.96,66,93,1.62,RU,1715295846
48,hithadhoo,-0.6,73.0833,28.8,78,100,5.24,MV,1715295846
49,port mathurin,-19.6833,63.4167,24.99,77,100,10.5,MU,1715295846
50,seydi,39.4816,62.9137,20.27,38,100,5.58,TM,1715295847
51,hawaiian paradise park,19.5933,-154.9731,26.73,80,0,5.14,US,1715295847
52,port elizabeth,-33.918,25.5701,14.62,95,20,1.03,ZA,1715295681
53,lubao,14.9167,120.55,28.84,71,15,3.98,PH,1715295848
54,huinca renanco,-34.8404,-64.3758,9.78,47,43,3.74,AR,1715295671
55,puerto natales,-51.7236,-72.4875,0.42,93,98,1.36,CL,1715295749
56,tadine,-21.55,167.8833,22.48,56,61,5.3,NC,1715295849
57,hola,51.5377,23.1902,6.1,73,12,1.7,PL,1715295850
58,tura,25.5198,90.2201,20.71,89,100,1.71,IN,1715295850
59,antofagasta,-23.65,-70.4,16.6,87,96,1.74,CL,1715295850
60,bilibino,68.0546,166.4372,-1.54,88,100,0.99,RU,1715295851
61,ciudad de chiautla de tapia,18.2981,-98.6053,40.92,10,62,1.81,MX,1715295851
62,paracuru,-3.41,-39.0306,29.5,86,98,3.51,BR,1715295851
63,ta`u,-14.2336,-169.5144,27.5,83,100,3.94,AS,1715295852
64,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,66,0,6.26,RU,1715295795
65,priargunsk,50.3691,119.1012,11.01,60,91,7.24,RU,1715295760
66,tena,-0.9833,-77.8167,23.25,98,95,0.17,EC,1715295481
67,sinop,41.7711,34.8709,10.49,83,100,2.14,TR,1715295660
68,afaahiti,-17.75,-149.2833,27.93,74,65,5.53,PF,1715295854
69,mbanza-ngungu,-5.25,14.8667,21.67,96,76,1.78,CD,1715295854
70,ribeira grande,38.5167,-28.7,18.21,91,85,3.58,PT,1715295855
71,kayangel,8.0823,134.7173,26.97,84,98,2.12,PW,1715295855
72,meulaboh,4.1363,96.1285,25.66,90,98,1.69,ID,1715295856
73,dolinsk,47.35,142.8,10.23,70,8,3.46,RU,1715295856
74,papatowai,-46.5619,169.4708,7.53,82,99,6.24,NZ,1715295857
75,farafangana,-22.8167,47.8333,22.67,82,69,3.49,MG,1715295741
76,albany,42.6001,-73.9662,16.48,53,87,2.97,US,1715295693
77,san patricio,28.017,-97.5169,33.05,62,62,6.09,US,1715295858
78,taseyevo,57.2169,94.8978,2.41,89,98,0.89,RU,1715295858
79,airuk,7.2772,168.8203,27.77,85,100,6.78,MH,1715295859
80,trairi,-3.2778,-39.2689,26.74,84,100,3.3,BR,1715295859
81,nuevo ideal,24.8875,-105.0728,29.69,10,43,11.31,MX,1715295860
82,howard springs,-12.497,131.047,27.12,99,83,4.06,AU,1715295860
83,gasa,31.5,34.4667,22.9,44,89,2.06,PS,1715295762
84,jamestown,42.097,-79.2353,13.8,73,100,1.34,US,1715295630
85,angra do heroismo,38.65,-27.2167,18.34,87,20,0.89,PT,1715295861
86,san juan de miraflores,-12.1629,-76.9635,23.98,67,79,1.31,PE,1715295861
87,tazovsky,67.4667,78.7,-3.87,92,100,7.4,RU,1715295862
88,vorgashor,67.5833,63.95,-2.33,74,100,8.92,RU,1715295862
89,narasannapeta,18.4167,84.05,27.63,84,76,2.82,IN,1715295862
90,constitucion,-35.3333,-72.4167,11.09,80,100,3.2,CL,1715295615
91,mount gambier,-37.8333,140.7667,13.0,78,84,1.24,AU,1715295863
92,olonkinbyen,70.9221,-8.7187,-1.39,88,18,6.67,SJ,1715295864
93,sinabang,2.4803,96.3801,26.73,85,100,1.62,ID,1715295864
94,ar rahad,12.7167,30.65,25.79,9,98,3.19,SD,1715295865
95,iqaluit,63.7506,-68.5145,-1.15,74,75,2.57,CA,1715295616
96,sungai besar,3.6746,100.9867,25.0,92,100,2.15,MY,1715295865
97,barauna,-5.08,-37.6167,24.73,92,69,2.86,BR,1715295866
98,aasiaat,68.7098,-52.8699,-8.47,85,58,2.38,GL,1715295799
99,nyurba,63.2842,118.3319,-1.99,53,15,3.51,RU,1715295866
100,khandyga,62.6667,135.6,1.14,85,100,1.49,RU,1715295867
101,laguna,38.421,-121.4238,31.91,21,0,6.69,US,1715295833
102,nuzvid,16.7833,80.85,25.75,84,95,1.63,IN,1715295695
103,richards bay,-28.783,32.0377,20.37,72,0,4.65,ZA,1715295721
104,egilsstadir,65.2653,-14.3948,4.95,65,0,1.03,IS,1715295868
105,longyearbyen,78.2186,15.6401,0.91,64,75,6.69,SJ,1715295845
106,nar'yan-mar,67.6713,53.087,-1.61,95,100,11.62,RU,1715295869
107,freetown,8.484,-13.2299,22.84,94,75,2.57,SL,1715295870
108,altai,46.3722,96.2583,4.13,50,0,1.33,MN,1715295870
109,college,64.8569,-147.8028,11.99,47,75,6.17,US,1715295871
110,wailua homesteads,22.0669,-159.378,25.63,80,40,4.12,US,1715295871
111,vila velha,-20.3297,-40.2925,26.08,90,40,2.68,BR,1715295739
112,st. john's,47.5649,-52.7093,7.04,81,75,4.12,CA,1715295772
113,ihosy,-22.4,46.1167,17.61,87,92,2.88,MG,1715295872
114,flin flon,54.7682,-101.865,15.91,44,75,6.69,CA,1715295873
115,zhosaly,45.4878,64.0781,14.88,56,71,3.47,KZ,1715295874
116,greymouth,-42.4667,171.2,9.43,57,15,2.12,NZ,1715295838
117,chui,-33.6971,-53.4616,10.27,79,1,1.93,UY,1715295770
118,kolwezi,-10.7148,25.4667,14.49,72,54,1.96,CD,1715295875
119,rawatsar,29.2833,74.3833,30.83,32,50,6.35,IN,1715295875
120,tolanaro,-25.0319,46.9987,24.04,78,20,8.23,MG,1715295876
121,pitkyaranta,61.5734,31.4792,1.4,73,40,1.98,RU,1715295876
122,whitehorse,60.7161,-135.0538,11.43,50,75,10.29,CA,1715295616
123,el porvenir,13.7617,-87.3458,31.63,60,94,1.8,HN,1715295877
124,gogrial,8.5332,28.1004,31.12,19,95,1.93,SS,1715295878
125,saint-paul,-21.0096,55.2707,24.06,78,73,2.52,RE,1715295878
126,nova sintra,14.8667,-24.7167,23.87,76,43,9.86,CV,1715295878
127,abu al matamir,30.9102,30.1744,21.27,50,25,4.04,EG,1715295718
128,island harbour,50.724,-1.2758,12.34,78,72,1.74,GB,1715295879
129,bac kan,22.1333,105.8333,22.93,98,97,0.67,VN,1715295880
130,coahuayana de hidalgo,18.7,-103.6583,28.37,56,0,2.83,MX,1715295880
131,thompson,55.7435,-97.8558,16.09,51,75,1.03,CA,1715295881
132,udachny,66.4167,112.4,-9.2,94,84,4.82,RU,1715295692
133,nemuro,43.3236,145.575,6.03,85,81,3.48,JP,1715295882
134,west side highway,46.184,-122.9172,28.62,37,0,4.12,US,1715295882
135,riohacha,11.5444,-72.9072,30.06,89,20,5.14,CO,1715295883
136,maceio,-9.6658,-35.7353,25.69,83,20,1.54,BR,1715295724
137,dukku,10.8231,10.7717,31.22,39,99,3.89,NG,1715295883
138,kargasok,59.0556,80.8572,13.31,49,100,6.26,RU,1715295884
139,old forge,41.3712,-75.7349,16.73,71,100,2.57,US,1715295884
140,haifa,32.8156,34.9892,24.6,62,24,0.45,IL,1715295885
141,oban,56.4127,-5.4706,9.65,86,100,0.98,GB,1715295668
142,saint-mandrier-sur-mer,43.078,5.929,18.21,71,0,1.54,FR,1715295886
143,talnakh,69.4865,88.3972,-12.02,83,11,1.61,RU,1715295886
144,enewetak,11.3474,162.3373,27.45,74,71,8.5,MH,1715295887
145,pisco,-13.7,-76.2167,20.01,88,0,2.57,PE,1715295848
146,colonia,50.9333,6.95,13.79,85,0,1.54,DE,1715295888
147,keflavik,64.0049,-22.5624,7.95,65,0,3.09,IS,1715295888
148,lysekil,58.2743,11.4358,11.13,95,35,0.45,SE,1715295889
149,bubaque,11.2833,-15.8333,26.71,79,75,5.25,GW,1715295889
150,kangding,30.0513,101.9603,11.08,89,100,1.46,CN,1715295890
151,wagar,16.1525,36.2032,30.29,43,10,3.44,SD,1715295890
152,sur,22.5667,59.5289,31.95,49,0,1.91,OM,1715295878
153,lebu,-37.6167,-73.65,9.97,77,70,2.05,CL,1715295754
154,akureyri,65.6835,-18.0878,6.96,49,20,1.54,IS,1715295891
155,utrik,11.2278,169.8474,27.4,78,95,7.44,MH,1715295892
156,kismayo,-0.3582,42.5454,26.31,85,30,5.28,SO,1715295893
157,peniche,39.3558,-9.3811,18.38,92,1,1.71,PT,1715295893
158,guercif,34.2257,-3.3536,19.36,47,98,4.38,MA,1715295893
159,mpika,-11.8343,31.4529,14.93,82,45,2.76,ZM,1715295894
160,flying fish cove,-10.4217,105.6791,26.82,83,75,6.69,CX,1715295894
161,pignataro maggiore,41.1908,14.1723,18.86,76,80,1.94,IT,1715295895
162,sisimiut,66.9395,-53.6735,-2.63,79,8,3.6,GL,1715295895
